Equipo,Jugador_Oficial
Saudi Arabia,ALKHAIBARI
Saudi Arabia,ALJOHANI
Saudi Arabia,ALGHANNAM
Saudi Arabia,ALHAJJI
Saudi Arabia,ALHAMDDAN
Saudi Arabia,MANDASH
Saudi Arabia,ALOWAIS
Saudi Arabia,ALKASSAR
Saudi Arabia,KANNO
Saudi Arabia,ALHARBI
Saudi Arabia,THIKRI
Saudi Arabia,ALSHAMAT
Scotland,GUNN
Scotland,HICKEY
Scotland,ROBERTSON
Scotland,MCTOMINAY
Scotland,HANLEY
Scotland,TIERNEY
Scotland,MCGINN
Scotland,FLETCHER
Scotland,DYKES
Scotland,ADAMS
Scotland,CHRISTIE
Scotland,KELLY
Scotland,HENDRY
Scotland,STEWART
Scotland,SOUTTAR
Scotland,HYAM
Scotland,DOAK
Scotland,HIRST
Scotland,FERGUSON
Scotland,SHANKLAND
Scotland,GORDON
Scotland,PATTERSON
Scotland,MCLEAN
Scotland,RALSTON
Scotland,CURTIS
Scotland,MCKENNA
Senegal,DIOUF
Senegal,SARR
Senegal,KOULIBALY
Senegal,SECK
Senegal,GUEYE
Senegal,CISS
Senegal,DIAO
Senegal,CAMARA
Senegal,DIENG
Senegal,MANE
Senegal,JACKSON
Senegal,NDIAYE
Senegal,JAKOBS
Senegal,DIATTA
Senegal,MENDY
Senegal,NIAKHATE
Senegal,MBAYE
Senegal,DIARRA
South Africa,WILLIAMS
South Africa,MATULUDI
South Africa,NDAMANE
South Africa,MOKOENA
South Africa,MBATHA
South Africa,MODIBA
South Africa,APPOLLIS
South Africa,MOREMI
South Africa,FOSTER
South Africa,MOFOKENG
South Africa,ZWANE
South Africa,MASEKO
South Africa,SITHOLE
South Africa,MBOKAZI
South Africa,RAYNERS
South Africa,CHAINE
South Africa,MAKGOPA
South Africa,KABINI
South Africa,SIBISI
South Africa,MUDAU
South Africa,OKON
South Africa,GOSS
South Africa,ADAMS
South Africa,MAKHANYA
South Africa,SEBELEBELE
South Africa,CROSS
Spain,RAYA
Spain,PUBILL
Spain,GRIMALDO
Spain,GARCIA
Spain,LLORENTE
Spain,MERINO
Spain,TORRES
Spain,RUIZ
Spain,GAVI
Spain,OLMO
