local,visita,goles_local,goles_visita,torneo_id,temporada
Cambodia,Hong Kong,1,1,0,2023
Norway,Jordan,6,0,0,2023
Qatar,Kenya,1,2,0,2023
Wales,South Korea,0,0,0,2023
Ghana,Central African Republic,2,1,1,2023
Angola,Madagascar,0,0,1,2023
Algeria,Tanzania,0,0,1,2023
Niger,Uganda,0,2,1,2023
Tunisia,Botswana,3,0,1,2023
France,Republic of Ireland,2,0,1,2023
Netherlands,Greece,3,0,1,2023
Czech Republic,Albania,1,1,1,2023
Poland,Faroe Islands,2,0,1,2023
Serbia,Hungary,1,2,1,2023
Lithuania,Montenegro,2,2,1,2023
Kazakhstan,Finland,0,1,1,2023
Denmark,San Marino,4,0,1,2023
Slovenia,Northern Ireland,4,2,1,2023
Iraq,India,2,2,1,2023
Thailand,Lebanon,2,1,1,2023
Haiti,Cuba,0,0,1,2023
Grenada,Suriname,1,1,1,2023
Jamaica,Honduras,1,0,1,2023
Barbados,Montserrat,2,3,1,2023
Dominican Republic,Nicaragua,0,2,1,2023
Bermuda,French Guiana,0,0,1,2023
Belize,Saint Vincent and the Grenadines,1,2,1,2023
Uruguay,Chile,3,1,1,2023
Brazil,Bolivia,5,1,1,2023
Taiwan,Philippines,1,1,0,2023
Costa Rica,Saudi Arabia,3,1,0,2023
Indonesia,Turkmenistan,2,0,0,2023
Myanmar,Nepal,0,0,0,2023
Singapore,Tajikistan,0,2,0,2023
Burkina Faso,Eswatini,0,0,1,2023
Egypt,Ethiopia,1,0,1,2023
Mali,South Sudan,4,0,1,2023
Georgia,Spain,1,7,1,2023
Cyprus,Scotland,0,3,1,2023
Croatia,Latvia,5,0,1,2023
Turkey,Armenia,1,1,1,2023
Bosnia and Herzegovina,Liechtenstein,2,1,1,2023
Luxembourg,Iceland,3,1,1,2023
Slovakia,Portugal,0,1,1,2023
Antigua and Barbuda,Guyana,1,5,1,2023
Bahamas,Puerto Rico,1,6,1,2023
British Virgin Islands,Turks and Caicos Islands,3,1,1,2023
China,Malaysia,1,1,0,2023
Germany,Japan,1,4,0,2023
Mexico,Australia,2,2,0,2023
South Africa,Namibia,0,0,0,2023
United States,Uzbekistan,3,0,0,2023
Malawi,Guinea,2,2,1,2023
Ivory Coast,Lesotho,1,0,1,2023
Comoros,Zambia,1,1,1,2023
Mauritania,Gabon,2,1,1,2023
DR Congo,Sudan,2,0,1,2023
Rwanda,Senegal,1,1,1,2023
Ukraine,England,1,1,1,2023
North Macedonia,Italy,1,1,1,2023
Azerbaijan,Belgium,0,1,1,2023
Estonia,Sweden,0,5,1,2023
Andorra,Belarus,0,0,1,2023
Kosovo,Switzerland,2,2,1,2023
Romania,Israel,1,1,1,2023
Guatemala,Panama,1,1,1,2023
El Salvador,Trinidad and Tobago,2,3,1,2023
Martinique,Curaçao,1,0,1,2023
Guadeloupe,Sint Maarten,4,0,1,2023
Saint Lucia,Saint Kitts and Nevis,2,0,1,2023
Hungary,Czech Republic,1,1,0,2023
Nigeria,São Tomé and Príncipe,6,0,1,2023
Togo,Cape Verde,3,2,1,2023
Gambia,Congo,2,2,1,2023
Republic of Ireland,Netherlands,1,2,1,2023
Greece,Gibraltar,5,0,1,2023
Faroe Islands,Moldova,0,1,1,2023
Albania,Poland,2,0,1,2023
Montenegro,Bulgaria,2,1,1,2023
Lithuania,Serbia,1,3,1,2023
Finland,Denmark,0,1,1,2023
Kazakhstan,Northern Ireland,1,0,1,2023
San Marino,Slovenia,0,4,1,2023
Lebanon,India,1,0,1,2023
Thailand,Iraq,2,2,1,2023
Dominican Republic,Montserrat,3,0,1,2023
Nicaragua,Barbados,5,1,1,2023
Saint Martin,Bonaire,2,1,1,2023
Cayman Islands,Aruba,1,2,1,2023
Cambodia,Macau,4,0,0,2023
Hong Kong,Brunei,10,0,0,2023
Kuwait,Kyrgyzstan,1,3,0,2023
Myanmar,Nepal,1,0,0,2023
Vietnam,Palestine,2,0,0,2023
Guinea-Bissau,Sierra Leone,2,1,1,2023
Armenia,Croatia,0,1,1,2023
Latvia,Wales,0,2,1,2023
Iceland,Bosnia and Herzegovina,1,0,1,2023
Portugal,Luxembourg,9,0,1,2023
Slovakia,Liechtenstein,3,0,1,2023
Cuba,Suriname,1,0,1,2023
Jamaica,Haiti,2,2,1,2023
Honduras,Grenada,4,0,1,2023
Saint Vincent and the Grenadines,Bermuda,4,3,1,2023
French Guiana,Belize,0,2,1,2023
Guyana,Bahamas,3,2,1,2023
Puerto Rico,Antigua and Barbuda,5,0,1,2023
Turks and Caicos Islands,Dominica,0,3,1,2023
Bolivia,Argentina,0,3,1,2023
Ecuador,Uruguay,2,1,1,2023
Venezuela,Paraguay,1,0,1,2023
Peru,Brazil,0,1,1,2023
Chile,Colombia,0,0,1,2023
Azerbaijan,Jordan,2,1,0,2023
Bahrain,Turkmenistan,1,1,0,2023
China,Syria,0,1,0,2023
Egypt,Tunisia,1,3,0,2023
Germany,France,2,1,0,2023
Qatar,Russia,1,1,0,2023
Ghana,Liberia,3,1,0,2023
Iran,Angola,4,0,0,2023
Japan,Turkey,4,2,0,2023
Kenya,South Sudan,0,1,0,2023
South Korea,Saudi Arabia,1,0,0,2023
Mexico,Uzbekistan,3,3,0,2023
Morocco,Burkina Faso,1,0,0,2023
Philippines,Afghanistan,2,1,0,2023
Scotland,England,1,3,0,2023
Senegal,Algeria,0,1,0,2023
Singapore,Taiwan,3,1,0,2023
South Africa,DR Congo,1,0,0,2023
United Arab Emirates,Costa Rica,4,1,0,2023
United States,Oman,4,0,0,2023
Cameroon,Burundi,3,0,1,2023
Norway,Georgia,2,1,1,2023
Spain,Cyprus,6,0,1,2023
Italy,Ukraine,2,1,1,2023
Malta,North Macedonia,0,2,1,2023
Belgium,Estonia,5,0,1,2023
Sweden,Austria,1,3,1,2023
Switzerland,Andorra,3,0,1,2023
Israel,Belarus,1,0,1,2023
Romania,Kosovo,2,0,1,2023
Papua New Guinea,Solomon Islands,1,3,1,2023
New Caledonia,Vanuatu,4,0,1,2023
China,Vietnam,2,0,0,2023
